id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,persentase_sanitasi_layak,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,6.85,PERSEN,2014
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,47.29,PERSEN,2014
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,38.96,PERSEN,2014
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,57.97,PERSEN,2014
5,32,JAWA BARAT,3205,KABUPATEN GARUT,58.15,PERSEN,2014
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,57.69,PERSEN,2014
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,42.35,PERSEN,2014
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,80.33,PERSEN,2014
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,62.29,PERSEN,2014
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,54.77,PERSEN,2014
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,68.52,PERSEN,2014
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,61.74,PERSEN,2014
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,71.38,PERSEN,2014
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,62.52,PERSEN,2014
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,47.93,PERSEN,2014
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,79.71,PERSEN,2014
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,77.58,PERSEN,2014
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,64.56,PERSEN,2014
19,32,JAWA BARAT,3271,KOTA BOGOR,75.39,PERSEN,2014
20,32,JAWA BARAT,3272,KOTA SUKABUMI,8.19,PERSEN,2014
21,32,JAWA BARAT,3273,KOTA BANDUNG,63.84,PERSEN,2014
22,32,JAWA BARAT,3274,KOTA CIREBON,80.77,PERSEN,2014
23,32,JAWA BARAT,3275,KOTA BEKASI,79.85,PERSEN,2014
